seed,scenario_id,time_slot,embb_cqi,urllc_cqi
42,poor_channel,197,7,6
42,poor_channel,198,7,6
42,poor_channel,199,7,7
42,poor_channel,200,7,7
42,poor_channel,201,7,7
42,poor_channel,202,7,7
42,poor_channel,203,7,7
42,poor_channel,204,8,7
42,poor_channel,205,8,7
42,poor_channel,206,8,7
42,poor_channel,207,8,7
42,poor_channel,208,8,6
42,poor_channel,209,7,6
42,poor_channel,210,7,6
42,poor_channel,211,8,6
42,poor_channel,212,8,7
42,poor_channel,213,8,6
42,poor_channel,214,7,6
42,poor_channel,215,7,6
42,poor_channel,216,7,6
42,poor_channel,217,7,6
42,poor_channel,218,6,6
42,poor_channel,219,6,6
42,poor_channel,220,6,6
42,poor_channel,221,5,5
42,poor_channel,222,4,5
42,poor_channel,223,4,5
42,poor_channel,224,4,6
42,poor_channel,225,4,6
42,poor_channel,226,4,6
42,poor_channel,227,5,5
42,poor_channel,228,4,4
42,poor_channel,229,3,4
42,poor_channel,230,4,4
42,poor_channel,231,4,3
42,poor_channel,232,4,3
42,poor_channel,233,4,3
42,poor_channel,234,4,3
42,poor_channel,235,4,4
42,poor_channel,236,5,3
42,poor_channel,237,5,2
42,poor_channel,238,4,2
42,poor_channel,239,5,2
42,poor_channel,240,6,2
42,poor_channel,241,5,2
42,poor_channel,242,5,2
42,poor_channel,243,5,2
42,poor_channel,244,4,2
42,poor_channel,245,4,1
42,poor_channel,246,3,1
42,poor_channel,247,3,1
42,poor_channel,248,3,1
42,poor_channel,249,4,1
42,poor_channel,250,5,1
42,poor_channel,251,5,1
42,poor_channel,252,5,1
42,poor_channel,253,5,2
42,poor_channel,254,6,2
42,poor_channel,255,5,1
42,poor_channel,256,5,1
42,poor_channel,257,5,1
42,poor_channel,258,5,1
42,poor_channel,259,5,1
42,poor_channel,260,6,1
42,poor_channel,261,5,1
42,poor_channel,262,5,2
42,poor_channel,263,5,2
42,poor_channel,264,5,2
42,poor_channel,265,5,3
42,poor_channel,266,5,3
42,poor_channel,267,4,3
42,poor_channel,268,4,4
42,poor_channel,269,5,4
42,poor_channel,270,4,4
42,poor_channel,271,5,4
42,poor_channel,272,4,4
42,poor_channel,273,3,3
42,poor_channel,274,2,3
42,poor_channel,275,1,3
42,poor_channel,276,1,3
42,poor_channel,277,2,3
42,poor_channel,278,2,3
42,poor_channel,279,2,4
42,poor_channel,280,1,4
42,poor_channel,281,1,5
42,poor_channel,282,2,5
42,poor_channel,283,2,5
42,poor_channel,284,2,5
42,poor_channel,285,2,5
42,poor_channel,286,2,5
42,poor_channel,287,1,5
42,poor_channel,288,1,5
42,poor_channel,289,1,4
42,poor_channel,290,1,4
42,poor_channel,291,1,4
42,poor_channel,292,1,4
42,poor_channel,293,1,5
42,poor_channel,294,1,5
42,poor_channel,295,1,6
42,poor_channel,296,1,6
42,poor_channel,297,2,5
42,poor_channel,298,1,5
42,poor_channel,299,1,5
42,poor_channel,300,1,5
42,poor_channel,301,1,4
42,poor_channel,302,1,4
42,poor_channel,303,1,5
42,poor_channel,304,1,5
42,poor_channel,305,1,5
42,poor_channel,306,1,5
42,poor_channel,307,1,4
42,poor_channel,308,1,4
42,poor_channel,309,1,5
42,poor_channel,310,2,5
42,poor_channel,311,2,5
42,poor_channel,312,2,6
42,poor_channel,313,2,6
42,poor_channel,314,2,6
42,poor_channel,315,3,6
42,poor_channel,316,3,5
42,poor_channel,317,3,5
42,poor_channel,318,3,5
42,poor_channel,319,3,5
42,poor_channel,320,3,5
42,poor_channel,321,3,5
42,poor_channel,322,3,5
42,poor_channel,323,2,5
42,poor_channel,324,2,5
42,poor_channel,325,1,5
42,poor_channel,326,1,4
42,poor_channel,327,1,4
42,poor_channel,328,1,3
42,poor_channel,329,1,3
42,poor_channel,330,1,3
42,poor_channel,331,1,4
42,poor_channel,332,2,5
42,poor_channel,333,3,4
42,poor_channel,334,2,3
42,poor_channel,335,2,3
42,poor_channel,336,2,4
42,poor_channel,337,2,4
42,poor_channel,338,2,4
42,poor_channel,339,2,4
42,poor_channel,340,2,4
42,poor_channel,341,1,4
42,poor_channel,342,1,3
42,poor_channel,343,2,3
42,poor_channel,344,3,3
42,poor_channel,345,3,4
42,poor_channel,346,4,4
42,poor_channel,347,4,4
42,poor_channel,348,4,5
42,poor_channel,349,5,5
42,poor_channel,350,5,5
42,poor_channel,351,5,4
42,poor_channel,352,5,4
42,poor_channel,353,6,4
42,poor_channel,354,6,4
42,poor_channel,355,6,4
42,poor_channel,356,6,4
42,poor_channel,357,7,4
42,poor_channel,358,7,3
42,poor_channel,359,7,4
42,poor_channel,360,7,4
42,poor_channel,361,7,5
42,poor_channel,362,8,4
42,poor_channel,363,8,3
42,poor_channel,364,8,3
42,poor_channel,365,7,3
42,poor_channel,366,7,4
42,poor_channel,367,7,4
42,poor_channel,368,7,5
42,poor_channel,369,7,4
42,poor_channel,370,7,5
42,poor_channel,371,6,5
42,poor_channel,372,7,5
42,poor_channel,373,7,5
42,poor_channel,374,7,4
42,poor_channel,375,7,5
42,poor_channel,376,7,5
42,poor_channel,377,8,5
42,poor_channel,378,7,5
42,poor_channel,379,6,5
42,poor_channel,380,6,5
42,poor_channel,381,6,4
42,poor_channel,382,6,4
42,poor_channel,383,6,4
42,poor_channel,384,6,4
42,poor_channel,385,5,4
42,poor_channel,386,4,4
42,poor_channel,387,4,4
42,poor_channel,388,5,4
42,poor_channel,389,5,4
42,poor_channel,390,5,4
42,poor_channel,391,5,5
42,poor_channel,392,5,5
42,poor_channel,393,5,5
42,poor_channel,394,5,5
42,poor_channel,395,4,6
42,poor_channel,396,4,6
42,poor_channel,397,4,6
42,poor_channel,398,5,6
42,poor_channel,399,5,6
42,poor_channel,400,6,6
42,poor_channel,401,6,6
42,poor_channel,402,5,7
42,poor_channel,403,5,7
42,poor_channel,404,5,8
42,poor_channel,405,6,8
42,poor_channel,406,6,7
42,poor_channel,407,5,7
42,poor_channel,408,5,7
42,poor_channel,409,5,7
42,poor_channel,410,5,6
42,poor_channel,411,5,6
42,poor_channel,412,6,7
42,poor_channel,413,7,6
42,poor_channel,414,7,6
42,poor_channel,415,7,5
42,poor_channel,416,7,5
42,poor_channel,417,8,5
42,poor_channel,418,8,5
42,poor_channel,419,8,6
42,poor_channel,420,8,7
42,poor_channel,421,8,7
42,poor_channel,422,8,7
42,poor_channel,423,7,8
42,poor_channel,424,7,8
42,poor_channel,425,7,8
42,poor_channel,426,7,8
42,poor_channel,427,7,8
42,poor_channel,428,8,7
42,poor_channel,429,7,7
42,poor_channel,430,6,7
42,poor_channel,431,6,7
42,poor_channel,432,6,6
42,poor_channel,433,6,7
42,poor_channel,434,6,7
42,poor_channel,435,6,7
42,poor_channel,436,7,6
42,poor_channel,437,8,6
42,poor_channel,438,8,6
42,poor_channel,439,8,6
42,poor_channel,440,8,5
42,poor_channel,441,7,6
42,poor_channel,442,8,6
42,poor_channel,443,8,7
42,poor_channel,444,7,6
42,poor_channel,445,7,6
42,poor_channel,446,6,7
42,poor_channel,447,6,7
42,poor_channel,448,5,7
42,poor_channel,449,5,7
42,poor_channel,450,5,7
42,poor_channel,451,5,7
42,poor_channel,452,6,7
42,poor_channel,453,7,6
42,poor_channel,454,7,5
42,poor_channel,455,8,5
42,poor_channel,456,8,6
42,poor_channel,457,8,6
42,poor_channel,458,8,6
42,poor_channel,459,8,6
42,poor_channel,460,8,5
42,poor_channel,461,8,5
42,poor_channel,462,8,6
42,poor_channel,463,8,6
42,poor_channel,464,8,6
42,poor_channel,465,8,7
42,poor_channel,466,8,6
42,poor_channel,467,8,6
42,poor_channel,468,8,5
42,poor_channel,469,8,5
42,poor_channel,470,8,5
42,poor_channel,471,8,5
42,poor_channel,472,8,6
42,poor_channel,473,8,6
42,poor_channel,474,7,7
42,poor_channel,475,7,7
42,poor_channel,476,7,7
42,poor_channel,477,7,6
42,poor_channel,478,6,5
42,poor_channel,479,6,6
42,poor_channel,480,7,5
42,poor_channel,481,7,5
42,poor_channel,482,6,5
42,poor_channel,483,6,5
42,poor_channel,484,7,6
42,poor_channel,485,7,6
42,poor_channel,486,6,5
42,poor_channel,487,6,5
42,poor_channel,488,5,4
42,poor_channel,489,5,4
42,poor_channel,490,5,5
42,poor_channel,491,5,5
42,poor_channel,492,4,4
42,poor_channel,493,4,4
42,poor_channel,494,4,4
42,poor_channel,495,4,4
42,poor_channel,496,4,3
42,poor_channel,497,4,3
42,poor_channel,498,5,3
42,poor_channel,499,5,2
