seed,scenario_id,time_slot,embb_arrival_bits,urllc_arrival_packets,urllc_arrival_bits
42,stable_load,164,17604,1,2560
42,stable_load,165,14128,2,5120
42,stable_load,166,17859,2,5120
42,stable_load,167,16823,1,2560
42,stable_load,168,15991,1,2560
42,stable_load,169,18453,1,2560
42,stable_load,170,18632,2,5120
42,stable_load,171,20607,1,2560
42,stable_load,172,18601,3,7680
42,stable_load,173,17797,3,7680
42,stable_load,174,18409,1,2560
42,stable_load,175,20265,2,5120
42,stable_load,176,17966,1,2560
42,stable_load,177,16656,1,2560
42,stable_load,178,18267,2,5120
42,stable_load,179,18708,0,0
42,stable_load,180,15603,2,5120
42,stable_load,181,18239,0,0
42,stable_load,182,18371,0,0
42,stable_load,183,19012,0,0
42,stable_load,184,16826,3,7680
42,stable_load,185,17744,3,7680
42,stable_load,186,16413,0,0
42,stable_load,187,18309,0,0
42,stable_load,188,19594,2,5120
42,stable_load,189,17381,1,2560
42,stable_load,190,19142,2,5120
42,stable_load,191,19555,3,7680
42,stable_load,192,16375,3,7680
42,stable_load,193,17768,4,10240
42,stable_load,194,18534,0,0
42,stable_load,195,20139,0,0
42,stable_load,196,18098,2,5120
42,stable_load,197,18050,1,2560
42,stable_load,198,17520,4,10240
42,stable_load,199,16421,2,5120
42,stable_load,200,16033,1,2560
42,stable_load,201,15376,0,0
42,stable_load,202,17117,1,2560
42,stable_load,203,20332,0,0
42,stable_load,204,17126,3,7680
42,stable_load,205,15844,0,0
42,stable_load,206,16796,1,2560
42,stable_load,207,18548,6,15360
42,stable_load,208,20440,3,7680
42,stable_load,209,18630,2,5120
42,stable_load,210,19165,2,5120
42,stable_load,211,18752,2,5120
42,stable_load,212,20588,2,5120
42,stable_load,213,17072,2,5120
42,stable_load,214,13552,2,5120
42,stable_load,215,17591,0,0
42,stable_load,216,16371,2,5120
42,stable_load,217,19924,3,7680
42,stable_load,218,20916,1,2560
42,stable_load,219,20788,0,0
42,stable_load,220,16195,0,0
42,stable_load,221,17403,3,7680
42,stable_load,222,18870,2,5120
42,stable_load,223,16468,2,5120
42,stable_load,224,16600,4,10240
42,stable_load,225,17533,3,7680
42,stable_load,226,18525,1,2560
42,stable_load,227,16895,2,5120
42,stable_load,228,16660,2,5120
42,stable_load,229,17669,1,2560
42,stable_load,230,17367,1,2560
42,stable_load,231,16152,0,0
42,stable_load,232,17922,2,5120
42,stable_load,233,15657,3,7680
42,stable_load,234,15997,3,7680
42,stable_load,235,17971,2,5120
42,stable_load,236,17511,2,5120
42,stable_load,237,17282,5,12800
42,stable_load,238,17028,2,5120
42,stable_load,239,20183,0,0
42,stable_load,240,15705,3,7680
42,stable_load,241,15520,3,7680
42,stable_load,242,18378,2,5120
42,stable_load,243,17738,0,0
42,stable_load,244,16099,1,2560
42,stable_load,245,17623,0,0
42,stable_load,246,19436,1,2560
42,stable_load,247,16487,0,0
42,stable_load,248,16886,1,2560
42,stable_load,249,18278,3,7680
42,stable_load,250,16710,2,5120
42,stable_load,251,18494,1,2560
42,stable_load,252,18464,1,2560
42,stable_load,253,19404,3,7680
42,stable_load,254,20177,1,2560
42,stable_load,255,17696,2,5120
42,stable_load,256,16621,2,5120
42,stable_load,257,16910,1,2560
42,stable_load,258,16634,4,10240
42,stable_load,259,16419,2,5120
42,stable_load,260,16160,1,2560
42,stable_load,261,18717,1,2560
42,stable_load,262,18360,4,10240
42,stable_load,263,18713,1,2560
42,stable_load,264,15299,2,5120
42,stable_load,265,18309,1,2560
42,stable_load,266,20910,4,10240
42,stable_load,267,17378,1,2560
42,stable_load,268,16391,3,7680
42,stable_load,269,17624,1,2560
42,stable_load,270,18034,3,7680
42,stable_load,271,18336,0,0
42,stable_load,272,19471,1,2560
42,stable_load,273,15060,0,0
42,stable_load,274,19206,1,2560
42,stable_load,275,17577,1,2560
42,stable_load,276,15859,3,7680
42,stable_load,277,18642,0,0
42,stable_load,278,17411,1,2560
42,stable_load,279,18349,1,2560
42,stable_load,280,16885,2,5120
42,stable_load,281,19180,3,7680
42,stable_load,282,17219,0,0
42,stable_load,283,18581,3,7680
42,stable_load,284,17745,1,2560
42,stable_load,285,17821,0,0
42,stable_load,286,17480,1,2560
42,stable_load,287,17777,0,0
42,stable_load,288,18915,0,0
42,stable_load,289,17022,1,2560
42,stable_load,290,18528,0,0
42,stable_load,291,17349,1,2560
42,stable_load,292,17818,0,0
42,stable_load,293,17709,1,2560
42,stable_load,294,17585,0,0
42,stable_load,295,18830,3,7680
42,stable_load,296,18315,0,0
42,stable_load,297,16228,2,5120
42,stable_load,298,18624,3,7680
42,stable_load,299,15053,1,2560
42,stable_load,300,17319,1,2560
42,stable_load,301,16397,0,0
42,stable_load,302,17570,1,2560
42,stable_load,303,17652,1,2560
42,stable_load,304,19844,2,5120
42,stable_load,305,17938,4,10240
42,stable_load,306,18358,1,2560
42,stable_load,307,19605,1,2560
42,stable_load,308,19308,2,5120
42,stable_load,309,18890,1,2560
42,stable_load,310,18326,0,0
42,stable_load,311,17422,3,7680
42,stable_load,312,16758,0,0
42,stable_load,313,17494,2,5120
42,stable_load,314,19620,2,5120
42,stable_load,315,16233,1,2560
42,stable_load,316,17409,0,0
42,stable_load,317,17109,3,7680
42,stable_load,318,19019,4,10240
42,stable_load,319,15288,2,5120
42,stable_load,320,18989,1,2560
42,stable_load,321,20117,0,0
42,stable_load,322,19326,1,2560
42,stable_load,323,16585,1,2560
42,stable_load,324,17974,1,2560
42,stable_load,325,16956,2,5120
42,stable_load,326,17424,0,0
42,stable_load,327,17740,0,0
42,stable_load,328,16342,1,2560
42,stable_load,329,16485,1,2560
42,stable_load,330,17635,0,0
42,stable_load,331,20489,1,2560
42,stable_load,332,17248,1,2560
